#Starting calculation, 100 configurations, 0 offset, index file: /home/vasilievav15_2089/_scratch/compute/SU3/configurations/24^3x24/mu=0.10/ma=0.001/nfluxes=38/index.txt
#N_stochastic_estimator = 42
0	-0.043776765882136
1	-0.141980147286402
2	-0.158190579138419
3	-0.105324664401078
4	-0.126830632276085
5	-0.139418937876451
6	-0.124501119470246
7	-0.093965576402967
8	-0.196153270276860
9	-0.101634463586388
10	-0.117628329921009
11	-0.124416275692249
12	-0.058959335806993
13	-0.071914517603824
14	-0.035513154594853
15	-0.094510547039690
16	-0.220886413529546
17	0.113881222440975
18	-0.047137536314884
19	-0.064330902974611
20	-0.120472126948041
21	-0.127686175304451
22	-0.114320774152195
23	0.043102631173352
24	-0.037929854871447
25	-0.118577483948074
26	-0.074285878206233
27	-0.016523810653643
28	-0.143548851523525
29	-0.130463398985780
#	Axial curent on Z-axis direction
-0.09312992236845846 0.012110392283933333

#	Axial curent on Z-axis direction
-0.09312992236845846 0.012110392283933333

