#Ls   Lt  mu  ma  nfluxes AxialCurrent Err
12 16 0.30 0.001 0 -0.003597728168611 0.031692719800054
12 16 0.30 0.001 1 0.267594634449718 0.032501603515118
12 16 0.30 0.001 2 0.372015923178012 0.039334682210910
12 16 0.30 0.001 3 0.312097140760672 0.042769753169636
12 16 0.30 0.001 4 0.248001643159490 0.048752362729434
12 16 0.30 0.001 5 0.281898941786299 0.059637434894193
12 16 0.30 0.001 6 0.390583838700847 0.058466147897711
12 16 0.30 0.001 7 0.483812846034355 0.078115879138827
12 16 0.30 0.001 8 0.468298931292635 0.067716966935948
12 16 0.30 0.001 9 0.356260314004941 0.072848392077577
12 16 0.30 0.001 10 0.298472662439634 0.071366440004763
12 16 0.30 0.001 11 0.375110053832699 0.064410513966932
12 16 0.30 0.001 12 0.298498263341113 0.076526019275749
12 16 0.30 0.001 13 0.096830972611941 0.065755032965402
12 16 0.30 0.001 14 0.066702949621466 0.054385799668102
12 16 0.30 0.001 15 0.213544157659598 0.083961281920130
12 16 0.30 0.001 16 0.172462885999769 0.072570750658911
12 16 0.30 0.001 17 0.113492862907455 0.063242477612360
12 16 0.30 0.001 18 0.142608826050934 0.053779306329054
12 16 0.30 0.001 19 0.197506458796043 0.059665345961000
12 16 0.30 0.001 20 0.236645278297430 0.058000904672903
12 16 0.30 0.001 21 0.252336220209050 0.081718839959698
12 16 0.30 0.001 22 0.239772139518510 0.077718673195931
12 16 0.30 0.001 23 0.040445283485095 0.068859880242491
12 16 0.30 0.001 24 0.132822507037894 0.080779728100757
12 16 0.30 0.001 25 0.151509483892341 0.074729977616257
12 16 0.30 0.001 26 0.167597537729917 0.063728071602898
12 16 0.30 0.001 27 0.121649681391227 0.050979657460474
12 16 0.30 0.001 28 0.096918338328327 0.075977106090932
12 16 0.30 0.001 29 0.087776131918301 0.070851102346442
12 16 0.30 0.001 30 0.103350403600695 0.107562223224444
12 16 0.30 0.001 31 0.020675789778158 0.053165289984314
12 16 0.30 0.001 32 0.052109854453345 0.071980977233267
12 16 0.30 0.001 33 0.054742157138806 0.080090042991670
12 16 0.30 0.001 34 0.025261217353615 0.074910969566461
12 16 0.30 0.001 35 0.026611156147022 0.081183921325405
12 16 0.30 0.001 36 -0.006859038740156 0.104323515420724
12 16 0.30 0.001 37 -0.013082552942200 0.077550952684479
12 16 0.30 0.001 38 -0.034276133158202 0.087990555447145
12 16 0.30 0.001 39 -0.040660835572709 0.080016851218126
12 16 0.30 0.001 40 -0.063959754516656 0.075103900098406
12 16 0.30 0.001 41 -0.064378447290877 0.074126025425347
12 16 0.30 0.001 42 -0.114082281049616 0.121902924421250
12 16 0.30 0.001 43 -0.092368018062782 0.061420368316443
12 16 0.30 0.001 44 -0.124851144560674 0.068813766799137
12 16 0.30 0.001 45 -0.129599450125043 0.049013401835318
12 16 0.30 0.001 46 -0.170106314686880 0.068684020433756
12 16 0.30 0.001 47 -0.149269020477545 0.073899571248553
12 16 0.30 0.001 48 -0.145954144989275 0.069891430256803
12 16 0.30 0.001 49 -0.140162033493513 0.063951727568394
12 16 0.30 0.001 50 -0.232224889000567 0.072014163330111
