#Ls   Lt  mu  ma  nfluxes J^5_t Err J^5_x Err J^5_y Err J^5_z Err
8 8 0.00 0.0015 0 0.023220582270830 0.029701811336022 -0.031587594142783 0.015765845354604 -0.012317255131985 0.017357553372623 0.008161929237792 0.019489831283734
8 8 0.00 0.0015 1 0.000991700579979 0.011070933937422 -0.034837873924703 0.028391479247985 0.020348937883947 0.016520750467823 -0.012454289566175 0.025307611572148
8 8 0.00 0.0015 2 -0.044700363084183 0.017060823431851 0.042548117452431 0.025236237248415 0.006065739330233 0.024994633246633 -0.104739900717078 0.020897907754076
8 8 0.00 0.0015 3 -0.010409975632738 0.021413875639624 0.007817069781692 0.044244768441336 -0.076516518062588 0.035645415539702 -0.049173150259266 0.040082933937026
8 8 0.00 0.0015 4 0.040171166983222 0.019107990674217 0.006199939668585 0.029578488116792 0.025344275858506 0.045656175995206 0.004032348894109 0.032868815792677
8 8 0.00 0.0015 5 -0.003434069959353 0.044655365344835 -0.004053976897540 0.027404569512472 -0.046103804518655 0.034260449359499 -0.000919436436606 0.028877812202874
8 8 0.00 0.0015 6 -0.004122540981006 0.027251810679930 0.035471349324022 0.034395974123796 -0.005110053392171 0.032163982212861 -0.016047919552828 0.024416294884967
8 8 0.00 0.0015 7 0.017699209832443 0.028315201383501 0.023503150285392 0.022274797268263 -0.041825872584154 0.032885524204886 -0.014760476940587 0.021274911938701
8 8 0.00 0.0015 8 0.016866763528652 0.033514227162823 0.030849838759444 0.021412866810956 0.024843120449512 0.019733059920026 0.042020142503930 0.040058303162187
8 8 0.00 0.0015 9 -0.075852709030760 0.018285502596862 -0.004301515454634 0.021599298508677 -0.017449333136791 0.017323125334377 -0.013948952745655 0.033138876751075
8 8 0.00 0.0015 10 0.022949006496171 0.022152676931569 -0.049331747786663 0.022759577407393 0.000817961770583 0.018264031820773 -0.050026374511883 0.029365144329506
8 8 0.00 0.0015 11 -0.016763071750109 0.033308717146577 0.016407527184125 0.017401299800453 0.006612723013362 0.016206607434789 0.006085359288543 0.023934157716585
8 8 0.00 0.0015 12 0.038688898314734 0.023793633125731 -0.041240168541260 0.017293430118162 0.040554450752578 0.024931272318041 -0.024824193745167 0.031120491515874
8 8 0.00 0.0015 13 0.002736146321625 0.024287839603244 0.002440556286161 0.015100677335485 0.036522956927720 0.024352076782367 -0.011702837585269 0.026383341460313
8 8 0.00 0.0015 14 0.007776281034017 0.026727263000905 0.003300599894661 0.018294828476111 -0.006984685209059 0.014701769337221 0.011684393588295 0.035411333157362
8 8 0.00 0.0015 15 0.073596642149178 0.038586965744371 -0.018611693637047 0.023673509780484 -0.001070577355060 0.031055297111786 0.050534943583553 0.028692020379423
8 8 0.00 0.0015 16 nan nan nan nan nan nan nan nan
8 8 0.00 0.0015 17 nan nan nan nan nan nan nan nan
8 8 0.00 0.0015 18 nan nan nan nan nan nan nan nan
8 8 0.00 0.0015 19 nan nan nan nan nan nan nan nan
8 8 0.00 0.0015 20 nan nan nan nan nan nan nan nan
8 8 0.00 0.0015 21 nan nan nan nan nan nan nan nan
8 8 0.00 0.0015 22 nan nan nan nan nan nan nan nan
8 8 0.00 0.0015 23 nan nan nan nan nan nan nan nan
8 8 0.00 0.0015 24 nan nan nan nan nan nan nan nan
8 8 0.00 0.0015 25 nan nan nan nan nan nan nan nan
8 8 0.00 0.0015 26 nan nan nan nan nan nan nan nan
8 8 0.00 0.0015 27 nan nan nan nan nan nan nan nan
8 8 0.00 0.0015 28 nan nan nan nan nan nan nan nan
8 8 0.00 0.0015 29 nan nan nan nan nan nan nan nan
8 8 0.00 0.0015 30 nan nan nan nan nan nan nan nan
8 8 0.00 0.0015 31 nan nan nan nan nan nan nan nan
8 8 0.00 0.0015 32 nan nan nan nan nan nan nan nan
