#path,beta,m_s,mu,,,nflux,"a, fm","T, MeV","qB, Gev^2"
beta_3.7927_m0.04521_muoverpit_0.24_b1/,3.7927,0.04521,0.12566,0.12566,0,1,0.112855,291.401201628989,0.856477137860476
beta_3.7927_m0.04521_muoverpit_0.275_b1/,3.7927,0.04521,0.14399,0.14399,0,1,0.112855,291.401201628989,0.856477137860476
beta_3.5870_m0.08746_muoverpit_0.0_b3/,3.587,0.08746,0,0,0,3,0.195416,168.287564016455,0.856955757304224
beta_3.5870_m0.08746_muoverpit_0.14_b3/,3.587,0.08746,0.0733,0.0733,0,3,0.195416,168.287564016455,0.856955757304224
beta_3.5870_m0.08746_muoverpit_0.17_b3/,3.587,0.08746,0.08901,0.08901,0,3,0.195416,168.287564016455,0.856955757304224
beta_3.5870_m0.08746_muoverpit_0.1_b3/,3.587,0.08746,0.05236,0.05236,0,3,0.195416,168.287564016455,0.856955757304224
beta_3.5870_m0.08746_muoverpit_0.20_b3/,3.587,0.08746,0.10472,0.10472,0,3,0.195416,168.287564016455,0.856955757304224
beta_3.5870_m0.08746_muoverpit_0.22_b3/,3.587,0.08746,0.11519,0.11519,0,3,0.195416,168.287564016455,0.856955757304224
beta_3.5870_m0.08746_muoverpit_0.24_b3/,3.587,0.08746,0.12566,0.12566,0,3,0.195416,168.287564016455,0.856955757304224
beta_3.5870_m0.08746_muoverpit_0.275_b3/,3.587,0.08746,0.14399,0.14399,0,3,0.195416,168.287564016455,0.856955757304224
beta_3.6562_m0.06703_muoverpit_0.0_b10/,3.6562,0.06703,0,0,0,10,0.15963,206.014424668543,4.28083370759729
beta_3.6562_m0.06703_muoverpit_0.14_b10/,3.6562,0.06703,0.0733,0.0733,0,10,0.15963,206.014424668543,4.28083370759729
beta_3.6562_m0.06703_muoverpit_0.17_b10/,3.6562,0.06703,0.08901,0.08901,0,10,0.15963,206.014424668543,4.28083370759729
beta_3.6562_m0.06703_muoverpit_0.1_b10/,3.6562,0.06703,0.05236,0.05236,0,10,0.15963,206.014424668543,4.28083370759729
beta_3.6562_m0.06703_muoverpit_0.20_b10/,3.6562,0.06703,0.10472,0.10472,0,10,0.15963,206.014424668543,4.28083370759729
beta_3.6562_m0.06703_muoverpit_0.22_b10/,3.6562,0.06703,0.11519,0.11519,0,10,0.15963,206.014424668543,4.28083370759729
beta_3.6562_m0.06703_muoverpit_0.24_b10/,3.6562,0.06703,0.12566,0.12566,0,10,0.15963,206.014424668543,4.28083370759729
beta_3.6562_m0.06703_muoverpit_0.275_b10/,3.6562,0.06703,0.14399,0.14399,0,10,0.15963,206.014424668543,4.28083370759729
beta_3.5651_m0.09571_muoverpit_0.0_b17/,3.5651,0.09571,0,0,0,17,0.20813,158.007411761109,4.28091828347144
beta_3.5651_m0.09571_muoverpit_0.14_b17/,3.5651,0.09571,0.0733,0.0733,0,17,0.20813,158.007411761109,4.28091828347144
beta_3.5651_m0.09571_muoverpit_0.17_b17/,3.5651,0.09571,0.08901,0.08901,0,17,0.20813,158.007411761109,4.28091828347144
beta_3.5651_m0.09571_muoverpit_0.1_b17/,3.5651,0.09571,0.05236,0.05236,0,17,0.20813,158.007411761109,4.28091828347144
beta_3.5651_m0.09571_muoverpit_0.20_b17/,3.5651,0.09571,0.10472,0.10472,0,17,0.20813,158.007411761109,4.28091828347144
beta_3.5651_m0.09571_muoverpit_0.22_b17/,3.5651,0.09571,0.11519,0.11519,0,17,0.20813,158.007411761109,4.28091828347144
beta_3.5651_m0.09571_muoverpit_0.24_b17/,3.5651,0.09571,0.12566,0.12566,0,17,0.20813,158.007411761109,4.28091828347144
beta_3.5651_m0.09571_muoverpit_0.275_b17/,3.5651,0.09571,0.14399,0.14399,0,17,0.20813,158.007411761109,4.28091828347144
beta_3.5551_m0.09983_muoverpit_0.0_b18/,3.5551,0.09983,0,0,0,18,0.214139,153.573532190958,4.28191803325158
beta_3.5551_m0.09983_muoverpit_0.14_b18/,3.5551,0.09983,0.0733,0.0733,0,18,0.214139,153.573532190958,4.28191803325158
beta_3.5551_m0.09983_muoverpit_0.17_b18/,3.5551,0.09983,0.08901,0.08901,0,18,0.214139,153.573532190958,4.28191803325158
beta_3.5551_m0.09983_muoverpit_0.1_b18/,3.5551,0.09983,0.05236,0.05236,0,18,0.214139,153.573532190958,4.28191803325158
beta_3.5551_m0.09983_muoverpit_0.20_b18/,3.5551,0.09983,0.10472,0.10472,0,18,0.214139,153.573532190958,4.28191803325158
beta_3.5551_m0.09983_muoverpit_0.22_b18/,3.5551,0.09983,0.11519,0.11519,0,18,0.214139,153.573532190958,4.28191803325158
beta_3.5551_m0.09983_muoverpit_0.24_b18/,3.5551,0.09983,0.12566,0.12566,0,18,0.214139,153.573532190958,4.28191803325158
beta_3.5551_m0.09983_muoverpit_0.275_b18/,3.5551,0.09983,0.14399,0.14399,0,18,0.214139,153.573532190958,4.28191803325158
beta_3.5364_m0.10805_muoverpit_0.0_b20/,3.5364,0.10805,0,0,0,20,0.225722,145.692854971334,4.28193037469157
beta_3.5364_m0.10805_muoverpit_0.14_b20/,3.5364,0.10805,0.0733,0.0733,0,20,0.225722,145.692854971334,4.28193037469157
beta_3.5364_m0.10805_muoverpit_0.17_b20/,3.5364,0.10805,0.08901,0.08901,0,20,0.225722,145.692854971334,4.28193037469157
beta_3.5364_m0.10805_muoverpit_0.1_b20/,3.5364,0.10805,0.05236,0.05236,0,20,0.225722,145.692854971334,4.28193037469157
beta_3.5364_m0.10805_muoverpit_0.20_b20/,3.5364,0.10805,0.10472,0.10472,0,20,0.225722,145.692854971334,4.28193037469157
beta_3.5364_m0.10805_muoverpit_0.22_b20/,3.5364,0.10805,0.11519,0.11519,0,20,0.225722,145.692854971334,4.28193037469157
beta_3.5364_m0.10805_muoverpit_0.24_b20/,3.5364,0.10805,0.12566,0.12566,0,20,0.225722,145.692854971334,4.28193037469157
beta_3.5364_m0.10805_muoverpit_0.275_b20/,3.5364,0.10805,0.14399,0.14399,0,20,0.225722,145.692854971334,4.28193037469157
beta_3.5190_m0.11651_muoverpit_0.0_b22/,3.519,0.11651,0,0,0,22,0.236738,138.913408957749,4.28197489925268
beta_3.5190_m0.11651_muoverpit_0.14_b22/,3.519,0.11651,0.0733,0.0733,0,22,0.236738,138.913408957749,4.28197489925268
beta_3.5190_m0.11651_muoverpit_0.17_b22/,3.519,0.11651,0.08901,0.08901,0,22,0.236738,138.913408957749,4.28197489925268
beta_3.5190_m0.11651_muoverpit_0.1_b22/,3.519,0.11651,0.05236,0.05236,0,22,0.236738,138.913408957749,4.28197489925268
beta_3.5190_m0.11651_muoverpit_0.20_b22/,3.519,0.11651,0.10472,0.10472,0,22,0.236738,138.913408957749,4.28197489925268
beta_3.5190_m0.11651_muoverpit_0.22_b22/,3.519,0.11651,0.11519,0.11519,0,22,0.236738,138.913408957749,4.28197489925268
beta_3.5190_m0.11651_muoverpit_0.24_b22/,3.519,0.11651,0.12566,0.12566,0,22,0.236738,138.913408957749,4.28197489925268
beta_3.5190_m0.11651_muoverpit_0.275_b22/,3.519,0.11651,0.14399,0.14399,0,22,0.236738,138.913408957749,4.28197489925268
