#Ls   Lt  mu  ma  nfluxes AxialCurrent Err
24 12 0.00 0.001 0 -0.000811652278060 0.000838297764242
24 12 0.00 0.001 1 0.000625221085165 0.000684183318447
24 12 0.00 0.001 2 0.000511636512758 0.000712154297158
24 12 0.00 0.001 3 -0.000469912091542 0.000839440505044
24 12 0.00 0.001 4 0.000410956615333 0.000718251853955
24 12 0.00 0.001 5 -0.000234485826149 0.000764659328149
24 12 0.00 0.001 6 -0.000218024659045 0.000753747293614
24 12 0.00 0.001 7 0.000177036619199 0.000690854830791
24 12 0.00 0.001 8 -0.000071975639754 0.000708034795619
24 12 0.00 0.001 9 0.000054279352863 0.000618831930829
24 12 0.00 0.001 10 0.000150390364840 0.000722993960632
24 12 0.00 0.001 11 0.000400792655076 0.000639767972015
24 12 0.00 0.001 12 0.000120759496229 0.000607989387187
24 12 0.00 0.001 13 -0.000291685192828 0.000632973998844
24 12 0.00 0.001 14 -0.000395461601266 0.000615382938853
24 12 0.00 0.001 15 -0.000434505609801 0.000575555726548
24 12 0.00 0.001 16 -0.000724580154901 0.000557393073900
24 12 0.00 0.001 17 0.000698162082956 0.000594270157457
24 12 0.00 0.001 18 -0.000508556331558 0.000534375285748
24 12 0.00 0.001 19 -0.000409282999298 0.000500187968677
24 12 0.00 0.001 20 -0.000631004873785 0.000501176384850
24 12 0.00 0.001 21 0.000716919715682 0.000707267656330
24 12 0.00 0.001 22 -0.000389405965736 0.000524363117761
24 12 0.00 0.001 23 -0.000330566554471 0.000515513690111
24 12 0.00 0.001 24 -0.000104242375270 0.000559694880613
24 12 0.00 0.001 25 -0.000131582543099 0.000487896588676
24 12 0.00 0.001 26 0.000079102862471 0.000521016023466
24 12 0.00 0.001 27 0.000259961008864 0.000700281947185
24 12 0.00 0.001 28 0.000227413507964 0.000535140236590
24 12 0.00 0.001 29 0.000308452022279 0.000517968806820
24 12 0.00 0.001 30 0.000452068149239 0.000668203361306
24 12 0.00 0.001 31 0.000487860346028 0.000530440158595
24 12 0.00 0.001 32 0.000585475342399 0.000543631193728
24 12 0.00 0.001 33 0.000733086412094 0.000595718143447
24 12 0.00 0.001 34 0.000554275569987 0.000545320891956
24 12 0.00 0.001 35 0.000653234776207 0.000566091878690
24 12 0.00 0.001 36 0.000737329138346 0.000547131996578
24 12 0.00 0.001 37 0.000702721076136 0.000522547152635
24 12 0.00 0.001 38 0.000774371433348 0.000473950365491
24 12 0.00 0.001 39 0.000511594531280 0.000442261853413
24 12 0.00 0.001 40 0.000570249302155 0.000501265349594
24 12 0.00 0.001 41 0.000583520087859 0.000428973136863
24 12 0.00 0.001 42 0.000348645457246 0.000450192205323
24 12 0.00 0.001 43 0.000353973634123 0.000518926421083
24 12 0.00 0.001 44 0.000500677554310 0.000481593523657
24 12 0.00 0.001 45 nan nan
24 12 0.00 0.001 46 0.000369655339364 0.000485865197983
24 12 0.00 0.001 47 0.000465999615524 0.000558916148934
24 12 0.00 0.001 48 nan nan
24 12 0.00 0.001 49 0.000409997216063 0.000491656608044
24 12 0.00 0.001 50 0.000207055812955 0.000502741725461
24 12 0.00 0.001 51 0.000398141020067 0.000451902423954
24 12 0.00 0.001 52 0.000191739655691 0.000463400799084
24 12 0.00 0.001 53 0.000067456154142 0.000431076485119
24 12 0.00 0.001 54 0.000072709940230 0.000444937434591
24 12 0.00 0.001 55 0.000190684223580 0.000500818309094
24 12 0.00 0.001 56 0.000200888761635 0.000478687916118
24 12 0.00 0.001 57 0.000057696063618 0.000501548125569
24 12 0.00 0.001 58 -0.000274744504332 0.000474078571300
24 12 0.00 0.001 59 0.000052184876009 0.000498771879586
24 12 0.00 0.001 60 -0.000024656490957 0.000533908832603
24 12 0.00 0.001 61 0.000041964715912 0.000534734155320
24 12 0.00 0.001 62 -0.000397369100382 0.000539573229432
24 12 0.00 0.001 63 -0.000232652311137 0.000553247486127
24 12 0.00 0.001 64 0.000090340398737 0.000447742231500
24 12 0.00 0.001 65 -0.000341728010580 0.000568876325308
24 12 0.00 0.001 66 -0.000677855365355 0.000569731063628
24 12 0.00 0.001 67 -0.000505702949313 0.000574171120861
24 12 0.00 0.001 68 -0.000708332956554 0.000567680535266
24 12 0.00 0.001 69 0.000292136607277 0.000397702587721
24 12 0.00 0.001 70 -0.000741648145340 0.000558445616066
24 12 0.00 0.001 71 0.000091304638975 0.000410266317003
24 12 0.00 0.001 72 -0.000834679151284 0.000580601575580
24 12 0.00 0.001 73 0.000405076884272 0.000411175422208
24 12 0.00 0.001 74 -0.001011804419978 0.000576558291284
24 12 0.00 0.001 75 0.000747473180566 0.000404726743404
24 12 0.00 0.001 76 0.000731988737468 0.000371368693452
24 12 0.00 0.001 77 -0.000987859986203 0.000567259443002
24 12 0.00 0.001 78 0.000893491969943 0.000388956081265
24 12 0.00 0.001 79 0.001047359182034 0.000381541364941
24 12 0.00 0.001 80 -0.000876579602656 0.000532953200065
24 12 0.00 0.001 81 -0.000766399282701 0.000538353552610
24 12 0.00 0.001 82 -0.000687903012782 0.000549282059596
24 12 0.00 0.001 83 -0.000595583161300 0.000514318342357
24 12 0.00 0.001 84 -0.000354052727320 0.000554622202422
24 12 0.00 0.001 85 0.000924161268742 0.000416099159499
24 12 0.00 0.001 86 -0.000260082782000 0.000463890936458
24 12 0.00 0.001 87 0.000928383968032 0.000424988521564
24 12 0.00 0.001 88 -0.000160507495920 0.000468962574807
24 12 0.00 0.001 89 -0.000290827202587 0.000443720360434
24 12 0.00 0.001 90 0.000772078928859 0.000448241146563
