#Ls   Lt  mu  ma  nfluxes AxialCurrent Err
24 24 0.00 0.001 136 nan nan
24 24 0.00 0.001 137 0.000216492283216 0.000361538057702
24 24 0.00 0.001 138 -0.000575353228526 0.000363243663788
24 24 0.00 0.001 139 nan nan
24 24 0.00 0.001 140 -0.000437017945807 0.000386886035333
24 24 0.00 0.001 141 nan nan
24 24 0.00 0.001 142 nan nan
24 24 0.00 0.001 143 nan nan
24 24 0.00 0.001 144 0.000474896338212 0.000382085154024
24 24 0.00 0.001 145 -0.000279333251641 0.000489828879928
24 24 0.00 0.001 146 nan nan
24 24 0.00 0.001 147 nan nan
24 24 0.00 0.001 148 nan nan
24 24 0.00 0.001 149 nan nan
24 24 0.00 0.001 150 nan nan
24 24 0.00 0.001 151 nan nan
24 24 0.00 0.001 152 0.000269524773265 0.000373482223185
24 24 0.00 0.001 153 nan nan
24 24 0.00 0.001 154 0.000874486675292 0.000458140937074
24 24 0.00 0.001 155 nan nan
24 24 0.00 0.001 156 nan nan
24 24 0.00 0.001 157 nan nan
24 24 0.00 0.001 158 nan nan
24 24 0.00 0.001 159 -0.001368080120882 0.000360048447422
24 24 0.00 0.001 160 nan nan
24 24 0.00 0.001 161 -0.002211709888907 0.000393897025591
24 24 0.00 0.001 162 nan nan
24 24 0.00 0.001 163 nan nan
24 24 0.00 0.001 164 nan nan
24 24 0.00 0.001 165 nan nan
24 24 0.00 0.001 166 nan nan
24 24 0.00 0.001 167 nan nan
24 24 0.00 0.001 168 0.000221500713007 0.000430514148697
24 24 0.00 0.001 169 nan nan
24 24 0.00 0.001 170 -0.001772420290997 0.000329765529563
24 24 0.00 0.001 171 nan nan
24 24 0.00 0.001 172 -0.003084726261405 0.000368743644154
24 24 0.00 0.001 173 nan nan
24 24 0.00 0.001 174 -0.001576096539729 0.000374113227221
24 24 0.00 0.001 175 nan nan
24 24 0.00 0.001 176 0.001247292918039 0.000399865866315
24 24 0.00 0.001 177 nan nan
24 24 0.00 0.001 178 nan nan
24 24 0.00 0.001 179 nan nan
24 24 0.00 0.001 180 0.000010285554306 0.000378777257067
24 24 0.00 0.001 181 nan nan
24 24 0.00 0.001 182 nan nan
24 24 0.00 0.001 183 -0.004004001777565 0.000368728670514
24 24 0.00 0.001 184 -0.006383315089541 0.000376925785608
24 24 0.00 0.001 185 nan nan
24 24 0.00 0.001 186 nan nan
24 24 0.00 0.001 187 -0.001385802225537 0.000429741569923
24 24 0.00 0.001 188 0.000335007784295 0.000384956937235
24 24 0.00 0.001 189 0.001560889346154 0.000382213663491
24 24 0.00 0.001 190 nan nan
24 24 0.00 0.001 191 0.001145498169784 0.000413280034694
24 24 0.00 0.001 192 nan nan
24 24 0.00 0.001 193 nan nan
24 24 0.00 0.001 194 nan nan
24 24 0.00 0.001 195 nan nan
24 24 0.00 0.001 196 -0.001684696048347 0.000477367175638
24 24 0.00 0.001 197 -0.004266605953229 0.000479004460222
24 24 0.00 0.001 198 nan nan
24 24 0.00 0.001 199 nan nan
24 24 0.00 0.001 200 nan nan
24 24 0.00 0.001 201 nan nan
24 24 0.00 0.001 202 nan nan
24 24 0.00 0.001 203 0.002182136120927 0.000500890073035
24 24 0.00 0.001 204 nan nan
24 24 0.00 0.001 205 -0.002057737086540 0.000467404991926
24 24 0.00 0.001 206 -0.005387153828730 0.000361257846280
24 24 0.00 0.001 207 nan nan
24 24 0.00 0.001 208 nan nan
24 24 0.00 0.001 209 nan nan
24 24 0.00 0.001 210 nan nan
24 24 0.00 0.001 211 nan nan
24 24 0.00 0.001 212 nan nan
24 24 0.00 0.001 213 0.000725822100655 0.000319297069225
24 24 0.00 0.001 214 nan nan
24 24 0.00 0.001 215 0.002071037299404 0.000439463275894
24 24 0.00 0.001 216 0.000905207181724 0.000462478133372
24 24 0.00 0.001 217 nan nan
24 24 0.00 0.001 218 nan nan
24 24 0.00 0.001 219 -0.002985055018433 0.000446347592644
24 24 0.00 0.001 220 nan nan
24 24 0.00 0.001 221 nan nan
24 24 0.00 0.001 222 nan nan
24 24 0.00 0.001 223 nan nan
24 24 0.00 0.001 224 -0.002823799103031 0.000602815950248
24 24 0.00 0.001 225 -0.000220129886246 0.000461835863371
24 24 0.00 0.001 226 nan nan
24 24 0.00 0.001 227 0.000278649995747 0.000489031939573
24 24 0.00 0.001 228 -0.000229763541537 0.000505844581788
24 24 0.00 0.001 229 nan nan
24 24 0.00 0.001 230 nan nan
24 24 0.00 0.001 231 -0.009907663093030 0.000452415137939
24 24 0.00 0.001 232 nan nan
24 24 0.00 0.001 233 nan nan
24 24 0.00 0.001 234 -0.013212776552376 0.000595557660488
24 24 0.00 0.001 235 nan nan
